"Module"	"Gene1"	"Gene2"
"M1"	"VAPB"	"CRYM"
"M1"	"TMEM30A"	"UNC5D"
"M1"	"NUB1"	"INSM2"
"M1"	"POLR3D"	"CBLN4"
"M1"	"SRSF12"	"EPHA3"
"M1"	"PRKCB"	"LRPPRC"
"M1"	"PRKCB"	"MUC6"
"M1"	"SMC2"	"INSM2"
"M1"	"DYNC1I1"	"UTY"
"M1"	"DYNC1I1"	"AHI1"
"M1"	"DYNC1I1"	"ATP1B1"
"M1"	"ZNF318"	"CHML"
"M1"	"ZNF318"	"ZNF441"
"M1"	"CASP10"	"EPHA3"
"M1"	"CCK"	"AURKA"
"M1"	"CCK"	"HRAS"
"M1"	"CCK"	"PTPRN"
"M1"	"CCK"	"DPYSL3"
"M1"	"CCK"	"PTP4A1"
"M1"	"CCK"	"PECR"
"M1"	"CCK"	"SLC22A1"
"M1"	"CCK"	"EPHA3"
"M1"	"CCK"	"KCNIP1"
"M1"	"CCK"	"SCYL2"
"M1"	"CCK"	"ARMC8"
"M1"	"CCK"	"NT5E"
"M1"	"CCK"	"MUC6"
"M1"	"CCK"	"ZDHHC20"
"M1"	"CCK"	"TIMM10"
"M1"	"CCK"	"ZFP36L2"
"M1"	"CCK"	"DUOX2"
"M1"	"CCK"	"SCN9A"
"M1"	"CCK"	"RRM2"
"M1"	"CCK"	"LSMEM1"
"M1"	"FLG"	"NUDT10"
"M1"	"ARHGAP21"	"MEPE"
"M1"	"ARHGAP21"	"EPHA3"
"M1"	"RBFOX1"	"SKI"
"M1"	"RBFOX1"	"PTP4A1"
"M1"	"RBFOX1"	"RAB13"
"M1"	"RBFOX1"	"NOL7"
"M1"	"RBFOX1"	"FARS2"
"M1"	"RBFOX1"	"GNAS"
"M1"	"KCNB2"	"FOLR3"
"M1"	"KCNB2"	"CLIP3"
"M1"	"KCNB2"	"SRPX"
"M1"	"KCNB2"	"TMEM167B"
"M1"	"CHRND"	"EPHA3"
"M1"	"PRKCE"	"MYH14"
"M1"	"PRKCE"	"SEMG1"
"M1"	"PRKCE"	"IGFALS"
"M1"	"PRKCE"	"TIPIN"
"M1"	"PRKCE"	"SLC31A1"
"M1"	"PRKCE"	"FOLR3"
"M1"	"PRKCE"	"PTP4A1"
"M1"	"PRKCE"	"PPP1R2"
"M1"	"PRKCE"	"IL1RAP"
"M1"	"PRKCE"	"ARL13A"
"M1"	"PRKCE"	"RPAP1"
"M1"	"PRKCE"	"CYB5R3"
"M1"	"RPLP0"	"UNC5D"
"M1"	"PHACTR1"	"FBXO38"
"M1"	"PHACTR1"	"ANAPC7"
"M1"	"PHACTR1"	"ARPC3"
"M1"	"PHACTR1"	"CHD7"
"M1"	"PHACTR1"	"KPNA3"
"M1"	"PHACTR1"	"SNRNP27"
"M1"	"PHACTR1"	"RXRB"
"M1"	"PHACTR1"	"CD163"
