"genes"	"modules"
"MTCO1P12"	"Not.Correlated"
"TF"	"M3"
"SNAP25"	"M1"
"CERCAM"	"M3"
"SPP1"	"M3"
"AQP4"	"M2"
"CHN1"	"M1"
"ENC1"	"M1"
"SYT1"	"M1"
"DNM1"	"M1"
"RTN1"	"M1"
"YWHAG"	"M1"
"VSNL1"	"M1"
"GJA1"	"M2"
"SYP"	"M1"
"ATP1A3"	"M1"
"PLEKHH1"	"M3"
"DNAJB1"	"Not.Correlated"
"ENPP2"	"M3"
"PHLDB1"	"M3"
"PTPRZ1"	"M2"
"NAPB"	"M1"
"LAMP2"	"M3"
"MAG"	"M3"
"BASP1"	"M1"
"STMN2"	"M1"
"CARNS1"	"M3"
"ANLN"	"M3"
"HSPH1"	"M2"
"SYN2"	"M1"
"MDH1"	"M1"
"TTYH2"	"M3"
"WSB1"	"M3"
"TMEM63A"	"M3"
"GAP43"	"M1"
"PJA2"	"M1"
"TMEM130"	"M1"
"MTRNR2L1"	"Not.Correlated"
"EDIL3"	"M3"
"CLDN11"	"M3"
"OPALIN"	"M3"
"LANCL1"	"M2"
"AQP1"	"M3"
"TMEM144"	"M3"
"PREPL"	"M1"
"NEFM"	"M1"
"CHI3L1"	"Not.Correlated"
"NPTX1"	"M1"
"TTLL7"	"M3"
"NSF"	"M1"
"DNAJC6"	"M2"
"SV2B"	"M1"
"PRKCB"	"M1"
"PPP3CA"	"M1"
"APLNR"	"Not.Correlated"
"SCN3B"	"M1"
"RAB3A"	"M1"
"CHGA"	"M1"
"UGT8"	"M3"
"PNMA2"	"M1"
"SH3GL2"	"M1"
"TSPYL1"	"M1"
"UNC13A"	"M1"
"PAK1"	"M1"
"SERPINI1"	"M1"
"SLC12A5"	"M1"
"GPR37"	"M3"
"MEF2C"	"M1"
"GRIA2"	"M1"
"GABBR2"	"M1"
"NPTN"	"M1"
"ATP2B1"	"M1"
"TNS1"	"M2"
"NELL2"	"M1"
"SNAP91"	"M1"
"FN1"	"M2"
"RGS4"	"M1"
"CLSTN3"	"M1"
"SULT4A1"	"M1"
"SLC14A1"	"M2"
"PLXNB3"	"M3"
"APOLD1"	"M2"
"CLIC4"	"M2"
"CCK"	"M1"
"NGEF"	"M1"
"TUBB2A"	"M1"
"SYT7"	"M1"
"INA"	"M1"
"HBB"	"Not.Correlated"
"LIPA"	"M3"
"VCAN"	"M2"
"CDK5R1"	"M1"
"ATP6V1A"	"M1"
"TUBA4A"	"M1"
"ABCA8"	"M3"
"GALNT15"	"M3"
"NRXN1"	"M1"
"SPOCK3"	"M3"
"CHL1"	"M1"
"DEPP1"	"M2"
"ST8SIA3"	"M1"
"FLT1"	"M2"
"L1CAM"	"M1"
"DCLK1"	"M1"
"LIFR"	"M2"
"G3BP2"	"M1"
"NAP1L3"	"M1"
"MLLT11"	"M1"
"ADAMTS1"	"M2"
"MAN2A1"	"M3"
"ATM"	"M2"
"FOS"	"M2"
"LRP2"	"M3"
"AKAP11"	"M2"
"DIRAS2"	"M1"
"KIAA1549L"	"M1"
"NMNAT2"	"M1"
"CADM2"	"M1"
"CALY"	"M1"
"WASF1"	"M1"
"ITGAV"	"M2"
"TMEM123"	"M2"
"PRKCG"	"M1"
"ZFP36"	"M2"
"RBFOX1"	"M1"
"RPH3A"	"M1"
"SYT13"	"M1"
"KCTD12"	"M2"
"GABRB3"	"M1"
"SLCO4A1"	"M2"
"PTPN5"	"M1"
"SLC16A1"	"M2"
"COL4A5"	"M3"
"SYNPR"	"M1"
"F3"	"M2"
"CADPS"	"M1"
"VPS13C"	"M2"
"PWAR6"	"M1"
"RBL2"	"M2"
"SCN2A"	"M1"
"DOCK4"	"M2"
"EID1"	"M1"
"GDA"	"M1"
"PCDHGC3"	"M2"
"P2RX7"	"M2"
"CAMK2D"	"M1"
"DLGAP1"	"M1"
"ITGB8"	"M2"
"ZBTB38"	"M2"
"CD164"	"M2"
"SELENOP"	"M3"
"ST18"	"M3"
"CREG2"	"M1"
"CLSTN2"	"M1"
"AMPH"	"M1"
"ITPR1"	"M1"
"ITM2A"	"M2"
"CD44"	"M2"
"TESPA1"	"M1"
"ITGB1"	"M2"
"VEGFA"	"M2"
"SHANK1"	"M1"
"NECAB1"	"M1"
"RYR2"	"M1"
"SACS"	"M2"
"DYNC1I1"	"M1"
"SYNJ1"	"M1"
"FRRS1L"	"M1"
"RAB3C"	"M1"
"SRGN"	"M2"
"PGM2L1"	"M1"
"CAP2"	"M1"
"KLK6"	"M3"
"AAK1"	"M1"
"GABRA5"	"M1"
"ATP11A"	"M2"
"CRIM1"	"M2"
"PRKCE"	"M1"
"RNF13"	"M3"
"SLC5A11"	"M3"
"CHGB"	"M1"
"KIF19"	"M3"
"TMEM151B"	"M1"
"SCG2"	"M1"
"NEGR1"	"M1"
"SLC12A2"	"M3"
"CDK14"	"M1"
"SERPINH1"	"Not.Correlated"
"CACNG3"	"M1"
"SYT4"	"M1"
"GLDN"	"M3"
"ITFG1"	"M1"
"CDK17"	"M2"
"CNKSR2"	"M1"
"LAMP5"	"M1"
"VSIG4"	"M2"
"ATRNL1"	"M1"
"TMTC4"	"M3"
"HIF1A"	"M2"
"UBR3"	"M2"
"ITGB2"	"M2"
"DDX6"	"M2"
"UNC80"	"M1"
"KCNH8"	"M3"
"GJB6"	"M1"
"ADAM23"	"M1"
"NRSN1"	"M1"
"MT1F"	"Not.Correlated"
"MRTFB"	"M2"
"RPS4Y1"	"Not.Correlated"
"TMTC2"	"M3"
"MT1G"	"Not.Correlated"
"RGS1"	"M2"
"TGFBR2"	"M2"
"NAP1L5"	"M1"
"TMPRSS5"	"Not.Correlated"
