"Module"	"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"M1"	"Neuronal System"	"Neuronal System"	"46/208"	"280/7644"	4.71665609614165e-24	2.65076072603161e-21	2.32853864114782e-21	"SNAP25/SYT1/SYN2/NSF/PRKCB/RAB3A/GRIA2/GABBR2/PRKCG/GABRB3/CAMK2D/GABRA5/CACNG3/GRIN2B/GABRA1/GABRG2/CACNA1B/GABRB2/GNG2/KCNJ4/GABRA2/GAD1/KCNS1/PLCB1/CACNA2D1/KCNQ5/CACNB4/KCNC2/KCNJ3/CHRNB2/GRIN2A/GAD2/KCNA1/AKAP5/KCNV1/HCN1/GABRA4/KCND2/SLC32A1/KCNS2/SYN3/KCNA4/CHRNA2/CACNG2/GRIP1/KCNB2"	46
"M1"	"Transmission across Chemical Synapses"	"Transmission across Chemical Synapses"	"36/208"	"201/7644"	3.76590884106265e-20	1.0582203843386e-17	9.29584866557043e-18	"SNAP25/SYT1/SYN2/NSF/PRKCB/RAB3A/GRIA2/GABBR2/PRKCG/GABRB3/CAMK2D/GABRA5/CACNG3/GRIN2B/GABRA1/GABRG2/CACNA1B/GABRB2/GNG2/KCNJ4/GABRA2/GAD1/PLCB1/CACNA2D1/CACNB4/KCNJ3/CHRNB2/GRIN2A/GAD2/AKAP5/GABRA4/SLC32A1/SYN3/CHRNA2/CACNG2/GRIP1"	36
"M1"	"Neurotransmitter Receptor Binding And Downstream Transmission In The  Postsynaptic Cell"	"Neurotransmitter Receptor Binding And Downstream Transmission In The  Postsynaptic Cell"	"25/208"	"140/7644"	3.40746152771616e-14	6.38331126192162e-12	5.60736651403116e-12	"NSF/PRKCB/GRIA2/GABBR2/PRKCG/GABRB3/CAMK2D/GABRA5/CACNG3/GRIN2B/GABRA1/GABRG2/GABRB2/GNG2/KCNJ4/GABRA2/PLCB1/KCNJ3/CHRNB2/GRIN2A/AKAP5/GABRA4/CHRNA2/CACNG2/GRIP1"	25
"M1"	"Ligand-gated ion channel transport"	"Ligand-gated ion channel transport"	"10/208"	"26/7644"	6.51780950643565e-10	9.15752235654209e-08	8.044349101364e-08	"GABRB3/GABRA5/GABRA1/GABRG2/GABRB2/GABRA2/GLRB/GABRA4/GLRA3/GLRA2"	10
"M1"	"GABA A receptor activation"	"GABA A receptor activation"	"7/208"	"13/7644"	1.49254513044652e-08	1.67762072662188e-06	1.47369192879877e-06	"GABRB3/GABRA5/GABRA1/GABRG2/GABRB2/GABRA2/GABRA4"	7
"M1"	"Axon guidance"	"Axon guidance"	"28/208"	"327/7644"	5.41791118646507e-08	4.21225830025466e-06	3.70022315568353e-06	"DNM1/SCN3B/SH3GL2/PAK1/NGEF/CDK5R1/CHL1/L1CAM/SCN2A/CAP2/GRIN2B/EPHA4/PAK3/PLXNA4/RASA1/SCN1A/CACNB4/SCN8A/SCN3A/MET/GFRA2/ROBO2/EPHA5/UNC5D/SEMA3A/EPHA3/CNTN6/SCN7A"	28
"M1"	"Glutamate Binding, Activation of AMPA Receptors and Synaptic Plasticity"	"Glutamate Binding, Activation of AMPA Receptors and Synaptic Plasticity"	"9/208"	"30/7644"	5.99609722456179e-08	4.21225830025466e-06	3.70022315568353e-06	"NSF/PRKCB/GRIA2/PRKCG/CAMK2D/CACNG3/AKAP5/CACNG2/GRIP1"	9
"M1"	"Trafficking of AMPA receptors"	"Trafficking of AMPA receptors"	"9/208"	"30/7644"	5.99609722456179e-08	4.21225830025466e-06	3.70022315568353e-06	"NSF/PRKCB/GRIA2/PRKCG/CAMK2D/CACNG3/AKAP5/CACNG2/GRIP1"	9
"M1"	"GABA receptor activation"	"GABA receptor activation"	"11/208"	"55/7644"	1.94741745850021e-07	1.21605401297458e-05	1.0682325006276e-05	"GABBR2/GABRB3/GABRA5/GABRA1/GABRG2/GABRB2/GNG2/KCNJ4/GABRA2/KCNJ3/GABRA4"	11
"M1"	"Potassium Channels"	"Potassium Channels"	"14/208"	"99/7644"	3.893752439011e-07	2.18828887072418e-05	1.92228409883806e-05	"GABBR2/GNG2/KCNJ4/KCNS1/KCNQ5/KCNC2/KCNJ3/KCNA1/KCNV1/HCN1/KCND2/KCNS2/KCNA4/KCNB2"	14
"M1"	"Voltage gated Potassium channels"	"Voltage gated Potassium channels"	"9/208"	"43/7644"	1.73788821431482e-06	8.87902887677207e-05	7.79970882788182e-05	"KCNS1/KCNQ5/KCNC2/KCNA1/KCNV1/KCND2/KCNS2/KCNA4/KCNB2"	9
"M1"	"Ion channel transport"	"Ion channel transport"	"17/208"	"167/7644"	2.58245863711388e-06	0.0001209451461715	0.000106243254456703	"ATP1A3/ATP2B1/GABRB3/RYR2/GABRA5/UNC80/GABRA1/GABRG2/GABRB2/GABRA2/ATP8A2/ATP2B3/GLRB/ANO3/GABRA4/GLRA3/GLRA2"	17
"M1"	"GABA synthesis, release, reuptake and degradation"	"GABA synthesis, release, reuptake and degradation"	"6/208"	"19/7644"	7.62135063394884e-06	0.000329476850483019	0.000289426190066559	"SNAP25/SYT1/RAB3A/GAD1/GAD2/SLC32A1"	6
"M1"	"Interaction between L1 and Ankyrins"	"Interaction between L1 and Ankyrins"	"7/208"	"29/7644"	9.36384940167263e-06	0.000375891668838573	0.000330198899953719	"SCN3B/L1CAM/SCN2A/SCN1A/SCN8A/SCN3A/SCN7A"	7
