"Module"	"Gene1"	"Gene2"
"M1"	"RBBP7"	"RYR2"
"M1"	"RBBP7"	"FOXJ1"
"M1"	"VAPB"	"CRYM"
"M1"	"TMEM30A"	"UNC5D"
"M1"	"POLR3D"	"CBLN4"
"M1"	"DDI2"	"GPR61"
"M1"	"PRKCB"	"LRPPRC"
"M1"	"PRKCB"	"MUC6"
"M1"	"DYNC1I1"	"ATP1B1"
"M1"	"DYNC1I1"	"UTY"
"M1"	"DYNC1I1"	"AHI1"
"M1"	"FLG"	"NUDT10"
"M1"	"ARHGAP21"	"MEPE"
"M1"	"RBFOX1"	"SKI"
"M1"	"RBFOX1"	"PTP4A1"
"M1"	"RBFOX1"	"RAB13"
"M1"	"RBFOX1"	"NOL7"
"M1"	"RBFOX1"	"FARS2"
"M1"	"RBFOX1"	"GNAS"
"M1"	"SHMT1"	"HUNK"
"M1"	"KCNB2"	"FOLR3"
"M1"	"KCNB2"	"CLIP3"
"M1"	"KCNB2"	"SRPX"
"M1"	"KCNB2"	"TMEM167B"
"M1"	"PRKCE"	"MYH14"
"M1"	"PRKCE"	"SEMG1"
"M1"	"PRKCE"	"IGFALS"
"M1"	"PRKCE"	"TIPIN"
"M1"	"PRKCE"	"SLC31A1"
"M1"	"PRKCE"	"FOLR3"
"M1"	"PRKCE"	"PTP4A1"
"M1"	"PRKCE"	"PPP1R2"
"M1"	"PRKCE"	"IL1RAP"
"M1"	"PRKCE"	"ARL13A"
"M1"	"PRKCE"	"RPAP1"
"M1"	"PRKCE"	"CYB5R3"
"M1"	"RPLP0"	"UNC5D"
"M1"	"UQCRH"	"RIMBP2"
"M1"	"CACNB4"	"REV1"
"M1"	"CACNB4"	"RIMBP2"
"M1"	"CACNB4"	"CYBA"
"M1"	"CACNB4"	"IBTK"
"M1"	"NEUROD1"	"ELF1"
"M1"	"NEUROD1"	"DVL3"
"M1"	"NEUROD1"	"XK"
"M1"	"NEUROD1"	"C19orf25"
"M1"	"NEUROD1"	"FOLR3"
"M1"	"NEUROD1"	"LRIG1"
"M1"	"NEUROD1"	"EFS"
"M1"	"NEUROD1"	"KRTAP26-1"
"M1"	"IL16"	"PLK2"
"M1"	"ERAL1"	"MDH1"
"M1"	"ITGA2"	"CBLN4"
"M1"	"ITGA2"	"MAP7D2"
"M1"	"SYT13"	"POLR1D"
"M1"	"SYT13"	"TLE4"
"M1"	"SYT13"	"C4BPB"
"M1"	"SYT13"	"ART3"
"M1"	"SYT13"	"ABHD17A"
"M1"	"MAFA"	"ELAVL2"
"M1"	"GABBR2"	"PTP4A1"
"M1"	"GABBR2"	"MXD4"
"M1"	"GABBR2"	"SNX5"
"M1"	"GABRB3"	"PPL"
"M1"	"GABRB3"	"PLK2"
"M1"	"MAP4K2"	"PLK2"
"M1"	"TREML1"	"HUNK"
"M1"	"RBM5"	"HUNK"
"M1"	"CASP1"	"PLK2"
"M1"	"MRPS28"	"HUNK"
"M1"	"DUSP4"	"POLR1D"
"M1"	"DUSP4"	"PTP4A1"
"M1"	"DUSP4"	"TRIM29"
"M1"	"DUSP4"	"RASSF1"
"M1"	"DUSP4"	"TNFRSF11B"
"M1"	"CGB"	"GRIN2B"
"M1"	"CCDC64"	"HUNK"
"M1"	"SERPINB3"	"INHA"
"M1"	"OAZ1"	"ELAVL2"
"M1"	"DDX20"	"MLLT11"
"M1"	"SFTPD"	"UNC5D"
"M1"	"GFM1"	"TBR1"
"M1"	"GFM1"	"HPRT1"
"M1"	"DUSP11"	"HUNK"
"M1"	"DUSP11"	"PTPRR"
"M1"	"MMP2"	"PPL"
"M1"	"MMP2"	"ELOVL4"
"M1"	"MMP2"	"INHA"
"M1"	"MMP2"	"MLLT11"
"M1"	"NIPSNAP1"	"HPRT1"
"M1"	"NIPSNAP1"	"PLK2"
"M1"	"CTSB"	"PLK2"
"M1"	"OLFM3"	"MMP8"
"M1"	"OLFM3"	"FLT3"
"M1"	"OLFM3"	"PVRL3"
"M1"	"OLFM3"	"FCN1"
"M1"	"OLFM3"	"LIN37"
"M1"	"OLFM3"	"PPP2R5E"
"M1"	"OLFM3"	"PTP4A1"
"M1"	"OLFM3"	"ARHGAP5"
"M1"	"OLFM3"	"AIMP2"
"M1"	"OLFM3"	"PSMB7"
"M1"	"OLFM3"	"RAB5A"
"M1"	"OLFM3"	"TMEM167B"
"M1"	"OLFM3"	"CCNA2"
"M1"	"OLFM3"	"TCEA1"
"M1"	"OLFM3"	"MEI1"
"M1"	"OLFM3"	"TVP23C"
"M1"	"OLFM3"	"PAQR7"
"M1"	"OLFM3"	"POMT2"
"M1"	"OLFM3"	"FBXO46"
"M1"	"OLFM3"	"TRIM35"
"M1"	"TAX1BP3"	"EPHA7"
"M1"	"MUC1"	"HUNK"
"M1"	"MUC1"	"RET"
"M1"	"MUC1"	"XK"
"M1"	"MUC1"	"ARC"
"M1"	"DCX"	"LDB2"
"M1"	"DBF4B"	"PPL"
"M1"	"DBF4B"	"IPCEF1"
"M1"	"APH1B"	"CDH8"
"M1"	"APH1B"	"PLK2"
"M1"	"AURKA"	"NRIP3"
