"genes"	"modules"
"MT-RNR2"	"M3"
"MT-RNR1"	"M3"
"MT-ND3"	"M3"
"MTCO1P12"	"M1"
"SNAP25"	"M1"
"MT-ND6"	"M3"
"ENC1"	"M1"
"SYT1"	"M1"
"VSNL1"	"M1"
"RTN1"	"M1"
"HSPA8"	"M2"
"YWHAG"	"M1"
"SYP"	"M1"
"AQP4"	"M2"
"ATP1A3"	"M1"
"NAPB"	"M1"
"ATP1B1"	"M1"
"STMN2"	"M1"
"SPP1"	"M2"
"SYN2"	"M1"
"MDH1"	"M1"
"MTND4P12"	"M3"
"TMEM130"	"M1"
"NEFM"	"M1"
"GJA1"	"M2"
"SV2B"	"M1"
"NSF"	"M1"
"RGS4"	"M1"
"PLEKHH1"	"M5"
"NPTX1"	"M1"
"RAB3A"	"M1"
"PAK1"	"M1"
"PRKCB"	"M1"
"PNMA2"	"M1"
"SH3GL2"	"M1"
"PTPRZ1"	"M2"
"PPP3CA"	"M1"
"ENPP2"	"M5"
"CHGA"	"M1"
"NELL2"	"M1"
"SULT4A1"	"M1"
"SLC12A5"	"M1"
"GABBR2"	"M1"
"MEF2C"	"M1"
"LAMP2"	"M5"
"HSPB1"	"M1"
"SERPINI1"	"M1"
"CLSTN3"	"M1"
"NPTN"	"M1"
"SNAP91"	"M1"
"ATP2B1"	"M1"
"DNAJC6"	"M3"
"INA"	"M1"
"PLPP3"	"M2"
"TMEM144"	"M5"
"NGEF"	"M1"
"GRIA2"	"M3"
"ATP6V1A"	"M3"
"CHI3L1"	"M4"
"NCALD"	"M1"
"CDK5R1"	"M1"
"MTND2P28"	"Not.Correlated"
"NMNAT2"	"M1"
"EDIL3"	"M3"
"TTYH2"	"M5"
"MTND6P4"	"M3"
"CAMKK1"	"M1"
"CALY"	"M1"
"MTRNR2L1"	"Not.Correlated"
"DCLK1"	"M1"
"GPRASP1"	"M1"
"ANLN"	"M5"
"MLLT11"	"M1"
"SYT13"	"M1"
"C1QB"	"M4"
"NAP1L3"	"M3"
"RBFOX1"	"M1"
"CHL1"	"M3"
"PEG3"	"M3"
"GDA"	"M1"
"PRKCG"	"M1"
"DIRAS2"	"M1"
"KIAA1549L"	"M1"
"CHGB"	"M1"
"G3BP2"	"M3"
"PTPN5"	"M1"
"DLGAP1"	"M1"
"SCN2A"	"M1"
"WASF1"	"M1"
"CADPS"	"M1"
"L1CAM"	"M1"
"CREG2"	"M1"
"TESPA1"	"M1"
"ZNF365"	"M1"
"RAB3C"	"M1"
"TRIM37"	"M1"
"SLC14A1"	"M2"
"PWAR6"	"M3"
"AMPH"	"M1"
"HBB"	"M2"
"CRYM"	"M1"
"SCG2"	"M1"
"LAMP5"	"M1"
"CNTNAP2"	"M1"
"PGM2L1"	"M1"
"AKAP11"	"M3"
"CAP2"	"M1"
"SYT4"	"M1"
"UGT8"	"M5"
"DYNC1I1"	"M1"
"NAP1L5"	"M1"
"GPR37"	"M5"
"PRKCE"	"M1"
"NNAT"	"M1"
"CLSTN2"	"M1"
"CADM2"	"M3"
"TGM2"	"M4"
"C1QC"	"M4"
"NECAB1"	"M1"
"TUBA1B"	"M3"
"AAK1"	"M1"
"GABRA1"	"M1"
"GAD1"	"M1"
"SVOP"	"M1"
"ITPR1"	"M3"
"NEGR1"	"M1"
"CLIC4"	"M5"
"CDK14"	"M1"
"C1QA"	"M4"
"ADAM23"	"M1"
"GABRG2"	"M1"
"PLXNB3"	"M2"
"ANGPTL4"	"M4"
"SYNJ1"	"M3"
"ATRNL1"	"M1"
"PTER"	"M1"
"RASGRF1"	"M1"
"PNMA3"	"M1"
"MYT1L"	"M1"
"FRRS1L"	"M1"
"PDP1"	"M3"
"HEPACAM"	"M2"
"ITFG1"	"M3"
"NEFH"	"M1"
"CNKSR2"	"M1"
"RYR2"	"M1"
"FOS"	"M4"
"NPTX2"	"M1"
"GABRB2"	"M1"
"GRIN2B"	"M1"
"PAK3"	"M1"
"DEPP1"	"M4"
"TMEM151B"	"M1"
"EPHA4"	"M1"
"IPCEF1"	"M1"
"GABRD"	"M1"
"PLK2"	"M1"
"SPOCK3"	"M3"
"MAPT"	"M3"
"GADD45B"	"M4"
"DOCK4"	"M3"
"PTPRT"	"M1"
"PARM1"	"M1"
"ITGAV"	"M2"
"NAP1L2"	"M3"
"HMGCS1"	"M3"
"SLC39A10"	"M3"
"ELAVL4"	"M1"
"MAP7D2"	"M1"
"PDE1A"	"M1"
"PLPPR4"	"M3"
"MRTFB"	"M3"
"GNG2"	"M3"
"ABCA8"	"M5"
"CD200"	"M1"
"SLC4A10"	"M3"
"CAMK1G"	"M1"
"VCAN"	"M2"
"SLC30A3"	"M1"
"PCLO"	"M1"
"ATP8A2"	"M1"
"CDK5R2"	"M1"
"GSTM5"	"Not.Correlated"
"KCNJ4"	"M1"
"TMEM123"	"M2"
"TNS1"	"M2"
"COL4A5"	"M5"
"ATL1"	"M3"
"MT1X"	"M4"
"SHANK1"	"M3"
"OXR1"	"M3"
"MAN2A1"	"M5"
"STAT1"	"M3"
"JUNB"	"M4"
"KCTD12"	"M2"
"SACS"	"M3"
"NSG1"	"M1"
"CD164"	"M2"
"VGF"	"M1"
"RIMBP2"	"M1"
"LDB2"	"M1"
"UBR3"	"M3"
"CDKN1A"	"M4"
"RBM3"	"M1"
"EGR1"	"M1"
"BEX5"	"M1"
"ZFP36"	"M4"
"TBR1"	"M1"
"ATP2B3"	"M1"
"KIAA1107"	"M3"
"PCDHGC3"	"M2"
"FGF12"	"M1"
"PCSK2"	"M1"
"RBL2"	"M2"
"HPRT1"	"M1"
"VEGFA"	"M2"
