"Module"	"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"M1"	"Neuronal System"	"Neuronal System"	"37/149"	"280/7644"	2.62659848248477e-21	1.28965985490002e-18	1.16123301330906e-18	"SNAP25/SYT1/SYN2/NSF/RAB3A/PRKCB/GABBR2/NCALD/CAMKK1/PRKCG/GABRA1/GAD1/GABRG2/RASGRF1/GABRB2/GRIN2B/KCNJ4/KCNS1/KCNH8/KCNQ5/CACNA2D1/KCNC2/KCNK1/GAD2/CACNB4/KCNJ3/CHRNB2/GRIN2A/AKAP5/KCNA1/KCNV1/HCN1/SLC32A1/KCNS2/SYN3/CACNG2/KCNB2"	37
"M1"	"Transmission across Chemical Synapses"	"Transmission across Chemical Synapses"	"27/149"	"201/7644"	8.40694283908141e-16	2.06390446699449e-13	1.85837683811273e-13	"SNAP25/SYT1/SYN2/NSF/RAB3A/PRKCB/GABBR2/NCALD/CAMKK1/PRKCG/GABRA1/GAD1/GABRG2/RASGRF1/GABRB2/GRIN2B/KCNJ4/CACNA2D1/GAD2/CACNB4/KCNJ3/CHRNB2/GRIN2A/AKAP5/SLC32A1/SYN3/CACNG2"	27
"M1"	"Neurotransmitter Receptor Binding And Downstream Transmission In The  Postsynaptic Cell"	"Neurotransmitter Receptor Binding And Downstream Transmission In The  Postsynaptic Cell"	"17/149"	"140/7644"	1.35849326317156e-09	2.22340064072412e-07	2.0019900720423e-07	"NSF/PRKCB/GABBR2/NCALD/CAMKK1/PRKCG/GABRA1/GABRG2/RASGRF1/GABRB2/GRIN2B/KCNJ4/KCNJ3/CHRNB2/GRIN2A/AKAP5/CACNG2"	17
"M1"	"Potassium Channels"	"Potassium Channels"	"13/149"	"99/7644"	5.08223929029359e-08	6.23844872883538e-06	5.6172118471666e-06	"GABBR2/KCNJ4/KCNS1/KCNH8/KCNQ5/KCNC2/KCNK1/KCNJ3/KCNA1/KCNV1/HCN1/KCNS2/KCNB2"	13
"M1"	"GABA synthesis, release, reuptake and degradation"	"GABA synthesis, release, reuptake and degradation"	"6/149"	"19/7644"	1.09156388444905e-06	9.5158776391624e-05	8.56826799967458e-05	"SNAP25/SYT1/RAB3A/GAD1/GAD2/SLC32A1"	6
"M1"	"Neurotransmitter Release Cycle"	"Neurotransmitter Release Cycle"	"8/149"	"42/7644"	1.16283637138441e-06	9.5158776391624e-05	8.56826799967458e-05	"SNAP25/SYT1/SYN2/RAB3A/GAD1/GAD2/SLC32A1/SYN3"	8
"M1"	"Voltage gated Potassium channels"	"Voltage gated Potassium channels"	"8/149"	"43/7644"	1.40526033183947e-06	9.85689747047401e-05	8.87532841161772e-05	"KCNS1/KCNH8/KCNQ5/KCNC2/KCNA1/KCNV1/KCNS2/KCNB2"	8
"M1"	"Axon guidance"	"Axon guidance"	"20/149"	"327/7644"	4.81347851211797e-06	0.000295427243681241	0.000266008023038099	"PAK1/SH3GL2/NGEF/CDK5R1/SCN2A/L1CAM/CAP2/GRIN2B/PAK3/EPHA4/PLXNA4/CACNB4/SCN8A/GFRA2/MET/SLIT3/ROBO2/ANK1/EPHA7/UNC5D"	20
"M1"	"Dopamine Neurotransmitter Release Cycle"	"Dopamine Neurotransmitter Release Cycle"	"5/149"	"18/7644"	1.83707295333154e-05	0.000902002820085787	0.000812179621472892	"SNAP25/SYT1/SYN2/RAB3A/SYN3"	5
"M1"	"Serotonin Neurotransmitter Release Cycle"	"Serotonin Neurotransmitter Release Cycle"	"5/149"	"18/7644"	1.83707295333154e-05	0.000902002820085787	0.000812179621472892	"SNAP25/SYT1/SYN2/RAB3A/SYN3"	5
