"Module"	"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"M1"	"Neuronal System"	"Neuronal System"	"53/248"	"280/7644"	6.23952470586404e-27	3.73747529881256e-24	3.32993581670849e-24	"SNAP25/SYT1/STXBP1/SYN2/NSF/PRKCB/RAB3A/GABBR2/GRIA2/NCALD/PRKCG/GABRB3/CAMK2D/GABRA5/CACNG3/RASGRF1/GABRA1/GRIN2B/GABRG2/GAD1/GABRB2/GNG2/KCNJ4/CACNA1B/GABRA2/KCNS1/CAMK4/PLCB1/CACNA2D1/KCNQ5/KCNC2/CACNB4/GABRA3/KCNJ3/CHRNB2/GRIN2A/GAD2/KCNA1/AKAP5/KCNV1/HCN1/GABRA4/KCND2/SLC32A1/SLC1A7/KCNS2/SYN3/KCNA4/CACNG2/GRIP1/KCNB2/KCNH1/GNG13"	53
"M1"	"Transmission across Chemical Synapses"	"Transmission across Chemical Synapses"	"42/248"	"201/7644"	4.27236911326765e-23	1.27957454942366e-20	1.14004796864563e-20	"SNAP25/SYT1/STXBP1/SYN2/NSF/PRKCB/RAB3A/GABBR2/GRIA2/NCALD/PRKCG/GABRB3/CAMK2D/GABRA5/CACNG3/RASGRF1/GABRA1/GRIN2B/GABRG2/GAD1/GABRB2/GNG2/KCNJ4/CACNA1B/GABRA2/CAMK4/PLCB1/CACNA2D1/CACNB4/GABRA3/KCNJ3/CHRNB2/GRIN2A/GAD2/AKAP5/GABRA4/SLC32A1/SLC1A7/SYN3/CACNG2/GRIP1/GNG13"	42
"M1"	"Neurotransmitter Receptor Binding And Downstream Transmission In The  Postsynaptic Cell"	"Neurotransmitter Receptor Binding And Downstream Transmission In The  Postsynaptic Cell"	"29/248"	"140/7644"	4.74362558571692e-16	9.47143908614811e-14	8.43866025248588e-14	"NSF/PRKCB/GABBR2/GRIA2/NCALD/PRKCG/GABRB3/CAMK2D/GABRA5/CACNG3/RASGRF1/GABRA1/GRIN2B/GABRG2/GABRB2/GNG2/KCNJ4/GABRA2/CAMK4/PLCB1/GABRA3/KCNJ3/CHRNB2/GRIN2A/AKAP5/GABRA4/CACNG2/GRIP1/GNG13"	29
"M1"	"Ligand-gated ion channel transport"	"Ligand-gated ion channel transport"	"11/248"	"26/7644"	1.68982589620045e-10	2.53051427956017e-08	2.25458349835165e-08	"GABRB3/GABRA5/GABRA1/GABRG2/GABRB2/GABRA2/GLRB/GABRA3/GABRA4/GLRA3/GLRA2"	11
"M1"	"Amine ligand-binding receptors"	"Amine ligand-binding receptors"	"13/248"	"42/7644"	3.56309375180387e-10	4.26858631466103e-08	3.80313375192539e-08	"CHRM1/CHRM3/HTR2A/HTR5A/ADRA1B/HTR2C/CHRM5/HTR1E/DRD5/HRH2/HTR1A/CHRM2/ADRA1D"	13
"M1"	"GABA A receptor activation"	"GABA A receptor activation"	"8/248"	"13/7644"	1.22795768106351e-09	1.22591108492841e-07	1.09223604263018e-07	"GABRB3/GABRA5/GABRA1/GABRG2/GABRB2/GABRA2/GABRA3/GABRA4"	8
"M1"	"Defective ACTH causes Obesity and Pro-opiomelanocortinin deficiency (POMCD)"	"Defective ACTH causes Obesity and Pro-opiomelanocortinin deficiency (POMCD)"	"40/248"	"441/7644"	2.00392348228551e-09	1.50043770736127e-07	1.33682790199836e-07	"GABBR2/CCK/GNG2/CHRM1/CNR1/CHRM3/NPY/HTR2A/SST/SSTR1/NPY1R/GRM1/RXFP1/PDYN/HTR5A/OPRK1/TAC3/MCHR1/ADCYAP1/ADRA1B/GRM5/TAC1/PTGER3/GLP2R/HTR2C/CHRM5/PTH2R/HTR1E/OPN3/DRD5/HRH2/GNG13/PTHLH/HTR1A/NPY2R/MC4R/MCHR2/CHRM2/TACR1/ADRA1D"	40
"M1"	"GPCR ligand binding"	"GPCR ligand binding"	"40/248"	"441/7644"	2.00392348228551e-09	1.50043770736127e-07	1.33682790199836e-07	"GABBR2/CCK/GNG2/CHRM1/CNR1/CHRM3/NPY/HTR2A/SST/SSTR1/NPY1R/GRM1/RXFP1/PDYN/HTR5A/OPRK1/TAC3/MCHR1/ADCYAP1/ADRA1B/GRM5/TAC1/PTGER3/GLP2R/HTR2C/CHRM5/PTH2R/HTR1E/OPN3/DRD5/HRH2/GNG13/PTHLH/HTR1A/NPY2R/MC4R/MCHR2/CHRM2/TACR1/ADRA1D"	40
"M1"	"Class A/1 (Rhodopsin-like receptors)"	"Class A/1 (Rhodopsin-like receptors)"	"31/248"	"314/7644"	2.28073225872976e-08	1.51795402553236e-06	1.3524342165801e-06	"CCK/CHRM1/CNR1/CHRM3/NPY/HTR2A/SST/SSTR1/NPY1R/RXFP1/PDYN/HTR5A/OPRK1/TAC3/MCHR1/ADRA1B/TAC1/PTGER3/HTR2C/CHRM5/HTR1E/OPN3/DRD5/HRH2/HTR1A/NPY2R/MC4R/MCHR2/CHRM2/TACR1/ADRA1D"	31
"M1"	"GABA receptor activation"	"GABA receptor activation"	"12/248"	"55/7644"	1.3244881300477e-07	7.93368389898573e-06	7.06858402035984e-06	"GABBR2/GABRB3/GABRA5/GABRA1/GABRG2/GABRB2/GNG2/KCNJ4/GABRA2/GABRA3/KCNJ3/GABRA4"	12
