M1	M2	M3	M4
450	416	179	140
597	443	127	NA
518	442	129	NA
631	411	75	NA
554	537	115	NA
529	314	195	91
634	374	127	NA
525	519	164	NA
532	520	104	NA
495	381	172	165
539	484	106	NA
464	433	156	NA
613	421	104	NA
704	381	138	NA
509	490	166	NA
597	436	140	NA
574	321	156	133
518	505	94	NA
538	352	179	140
537	445	122	90
490	388	181	109
575	499	90	NA
589	509	128	NA
626	415	130	NA
449	274	192	129
536	496	118	NA
619	484	112	NA
533	334	143	112
500	413	169	NA
512	491	118	NA
539	484	89	NA
533	488	119	NA
542	509	94	NA
603	446	160	NA
658	405	158	NA
645	410	107	NA
586	459	114	NA
650	406	109	NA
545	508	103	NA
451	397	199	137
680	461	119	NA
488	400	182	136
590	455	118	NA
599	449	140	NA
510	391	182	121
542	399	132	NA
543	468	94	NA
512	457	93	NA
589	373	170	NA
577	461	116	NA
474	377	179	155
530	478	129	NA
574	450	100	NA
583	432	153	NA
637	422	131	NA
502	243	191	131
567	493	92	NA
517	499	133	NA
506	490	122	NA
591	494	153	NA
463	393	185	59
481	266	194	122
526	515	149	NA
538	485	193	NA
583	417	143	NA
485	455	180	NA
619	405	129	NA
612	471	111	NA
650	436	111	NA
528	455	102	95
664	374	158	NA
576	453	129	NA
565	319	184	86
442	421	134	55
502	247	175	137
567	454	117	NA
546	493	134	NA
621	510	104	NA
521	512	105	NA
628	447	129	NA
548	497	91	NA
524	477	140	NA
581	481	134	NA
532	389	131	55
536	492	98	NA
678	521	NA	NA
478	276	209	120
581	496	113	NA
656	457	127	NA
656	434	81	NA
465	404	197	119
563	528	115	NA
578	486	NA	NA
510	446	114	NA
631	504	123	NA
637	437	108	NA
614	445	90	NA
531	454	124	NA
604	483	111	NA
452	441	184	113
